-----------------------------------------------------------------------
NEUTRAL-NEUTRAL and NEUTRAL-ION interactions
-----------------------------------------------------------------------
 Fit coefficients for the reduced collision integrals and ratios:
 -Q11IJ = pi *sigmaIJ**2 *omegastar11IJ, AstarIJ, BstarIJ and CstarIJ.
 Formula of the type:
 -Q11IJ = 1.D-20 *EXP( C1*lnT**3 +C2*lnT**2 +C3*lnT +C4 ) in m^2
 -AstarIJ  = EXP(C1*lnT**3 +C2*lnT**2 +C3*lnT +C4)
 -BstarIJ  = EXP(C1*lnT**3 +C2*lnT**2 +C3*lnT +C4)
 -CstarIJ  = EXP(C1*lnT**3 +C2*lnT**2 +C3*lnT +C4)

ATTENTION, the present data are: Q11IJ, Q22IJ, BstarIJ, 0.D0

 7.29390E-06   -5.34833E-05    2.44143E-03    4.80118E-02
 0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
-----------------------------------------------------------------------
.NOp-NO.
-1.28816E-04   -4.14670E-04   -8.56684E-02    5.27134E+00
 7.92031E-07   -2.27303E-05   -4.99834E-01    7.37373E+00
-1.90773E-04    2.44218E-03   -2.48194E-02   -9.93479E-02
 0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
-----------------------------------------------------------------------
.O2p-O2.
-1.16801E-04   -5.01551E-04   -8.43100E-02    5.34363E+00
 2.04993E-06   -1.47249E-05   -5.00155E-01    7.29556E+00
 3.38760E-05   -5.45379E-04    5.93873E-03    4.10974E-02
 0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
-----------------------------------------------------------------------
.Arp-C. 
 -2.6692648e-003  4.6940135e-002 -5.1630236e-001  5.3028119e+000
 -2.5368233e-003  4.5186661e-002 -4.9680809e-001  5.3812855e+000
  3.7612533e-004 -7.2344811e-003  6.2053767e-002 -6.7792981e-002
  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000
-----------------------------------------------------------------------
.Arp-N. 
 -3.8253762e-003  7.1760929e-002 -7.2135379e-001  5.9790942e+000
 -3.7080191e-003  7.0689663e-002 -7.0772627e-001  6.0811294e+000
  5.1649890e-004 -1.0200693e-002  8.5965752e-002 -1.2724229e-001
  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000
-----------------------------------------------------------------------
.Arp-O. 
 -1.9353649e-003  3.1774291e-002 -3.9011406e-001  4.8386692e+000
 -1.8075932e-003  2.9876502e-002 -3.6923607e-001  4.9065758e+000
  2.4422804e-004 -4.2899802e-003  3.7515599e-002 -4.2257193e-003
  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000
-----------------------------------------------------------------------
.Arp-CO. 
 -1.5692980e-003  2.4979928e-002 -3.3393871e-001  4.9865086e+000
 -1.4654809e-003  2.3533484e-002 -3.1711802e-001  5.0615975e+000
  2.2279332e-004 -4.1449639e-003  3.7595159e-002 -1.2190404e-002
  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000
-----------------------------------------------------------------------
.Arp-CO2. 
 -9.6462708e-004  1.2773977e-002 -2.2714891e-001  4.8646241e+000
 -8.9583582e-004  1.1959634e-002 -2.1585369e-001  4.9473401e+000
  1.0597980e-004 -1.5308071e-003  1.5378373e-002  4.4032983e-002
  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000
-----------------------------------------------------------------------
.Arp-N2. 
 -1.7334465e-003  2.7649355e-002 -3.5535221e-001  5.0844908e+000
 -1.6260728e-003  2.6214497e-002 -3.3857790e-001  5.1624773e+000
  2.7721728e-004 -5.3700289e-003  4.7858645e-002 -3.8516890e-002
  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000
-----------------------------------------------------------------------
.Arp-NO. 
 -1.8370825e-003  3.0275026e-002 -3.7852750e-001  5.1146713e+000
 -1.7163073e-003  2.8490376e-002 -3.5863129e-001  5.1836236e+000
  2.5815544e-004 -4.8347478e-003  4.2985454e-002 -2.3574228e-002
